epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2521,3.34837,4.55678,2.42227,0.00192,0.05093,0.00101,0.00017,2.62559,4.55846,2.06599,4.998e-05,4.998e-05,4.998e-05
2,85.7797,2.19418,4.18339,1.6797,0.01076,0.33796,0.0956,0.03685,1.77708,4.20925,1.43589,0.000107218,0.000107218,0.000107218
3,130.683,1.66837,3.61283,1.36392,0.01542,0.4213,0.23634,0.12278,1.39964,3.97206,1.26884,0.000163301,0.000163301,0.000163301
4,172.066,1.50631,3.15372,1.26052,0.01398,0.47685,0.28064,0.15088,1.34074,3.75719,1.18544,0.00021823,0.00021823,0.00021823
5,208.934,1.42383,2.60832,1.21725,0.99104,0.17352,0.35727,0.19553,1.21464,3.5161,1.19128,0.000272004,0.000272004,0.000272004
6,247.556,1.32542,1.97123,1.16881,1,0.16845,0.56937,0.33215,1.26225,3.28877,1.21955,0.000324624,0.000324624,0.000324624
7,285.55,1.26432,1.52412,1.14681,0.6927,0.38685,0.69521,0.37826,1.4501,3.04988,1.28696,0.00037609,0.00037609,0.00037609
8,322.977,1.27402,1.35049,1.15614,0.93486,0.21614,0.77238,0.45465,1.34708,2.72118,1.26553,0.0004264,0.0004264,0.0004264
9,363.035,1.19054,1.26274,1.12362,0.98362,0.35241,0.88339,0.50622,1.4732,2.46609,1.28648,0.000475556,0.000475556,0.000475556
10,400.142,1.15611,1.17169,1.11231,0.98632,0.48503,0.90941,0.53053,1.40387,2.27631,1.28936,0.000523558,0.000523558,0.000523558
11,436.594,1.17252,1.12045,1.13738,0.98205,0.57066,0.96449,0.57111,1.38368,2.09876,1.25405,0.000570405,0.000570405,0.000570405
12,477.229,1.16817,1.0438,1.08367,0.97696,0.55836,0.97648,0.62666,1.27904,2.0399,1.19169,0.000616098,0.000616098,0.000616098
13,513.978,1.15695,1.03433,1.10451,0.9833,0.64479,0.98469,0.61286,1.34635,1.9582,1.19818,0.000660636,0.000660636,0.000660636
14,552.205,1.12792,0.95914,1.06877,0.97784,0.56259,0.9876,0.60949,1.32689,1.92794,1.19481,0.000704019,0.000704019,0.000704019
15,588.429,1.07115,0.90747,1.07243,0.95063,0.87572,0.99074,0.66471,1.15925,1.53781,1.17478,0.000717546,0.000717546,0.000717546
16,627.138,1.08647,0.89132,1.07095,0.95123,0.91045,0.98797,0.66135,1.1764,1.42005,1.14785,0.000709299,0.000709299,0.000709299
17,666.645,1.05849,0.8741,1.05688,0.93626,0.85251,0.98757,0.67617,1.12688,1.49012,1.12912,0.000701053,0.000701053,0.000701053
18,701.736,1.08417,0.87482,1.06606,0.92627,0.95651,0.99176,0.68137,1.11137,1.3777,1.11272,0.000692806,0.000692806,0.000692806
19,737.235,1.02645,0.8386,1.04653,0.94351,0.98402,0.99122,0.68479,1.09501,1.12165,1.13997,0.000684559,0.000684559,0.000684559
20,772.664,1.04224,0.81795,1.03401,0.93575,0.96319,0.99292,0.68133,1.12038,1.20217,1.17005,0.000676313,0.000676313,0.000676313
21,808.465,1.05351,0.82063,1.06336,0.93776,0.96551,0.99287,0.68937,1.1149,1.22671,1.14831,0.000668066,0.000668066,0.000668066
22,841.6,1.0776,0.8238,1.04986,0.97459,0.99039,0.99361,0.66865,1.17581,1.12528,1.1509,0.000659819,0.000659819,0.000659819
23,874.897,1.03986,0.82118,1.06372,0.97234,0.99726,0.99343,0.69233,1.10497,0.92934,1.12527,0.000651573,0.000651573,0.000651573
24,908.104,0.99593,0.77516,1.02049,0.97723,0.99461,0.99394,0.69359,1.10738,0.87885,1.12617,0.000643326,0.000643326,0.000643326
25,940.684,1.01059,0.78066,1.05002,0.97439,0.98711,0.99324,0.68754,1.10796,0.91985,1.12633,0.000635079,0.000635079,0.000635079
26,973.572,1.00688,0.78781,1.03592,0.97155,1,0.99255,0.69452,1.07421,0.86532,1.11358,0.000626832,0.000626832,0.000626832
27,1006.7,1.02596,0.78071,1.03814,0.97344,0.99151,0.99324,0.68137,1.10532,0.83432,1.10989,0.000618586,0.000618586,0.000618586
28,1039.89,1.01014,0.76642,1.02731,0.97557,0.998,0.99287,0.66773,1.15918,0.82298,1.11924,0.000610339,0.000610339,0.000610339
29,1073.09,0.97767,0.74871,1.03044,0.96513,0.99866,0.99255,0.70024,1.07844,0.79807,1.09571,0.000602092,0.000602092,0.000602092
30,1106.03,0.98984,0.75287,1.02183,0.98734,0.99513,0.99287,0.70677,1.07045,0.76096,1.10834,0.000593846,0.000593846,0.000593846
31,1138.8,0.99457,0.72521,1.03846,0.98877,0.99552,0.99269,0.69217,1.09576,0.7707,1.10495,0.000585599,0.000585599,0.000585599
32,1171.66,0.98446,0.72493,1.02667,0.98789,0.99831,0.99181,0.69906,1.06448,0.74156,1.11218,0.000577352,0.000577352,0.000577352
33,1204.43,0.98218,0.7172,1.02927,0.98478,0.99765,0.99269,0.69464,1.06861,0.73438,1.11109,0.000569106,0.000569106,0.000569106
34,1237.45,0.97015,0.70588,1.01425,0.98124,1,0.99449,0.69972,1.06512,0.75106,1.10266,0.000560859,0.000560859,0.000560859
35,1270.31,0.9415,0.70227,1.01291,0.98186,0.99604,0.99486,0.69791,1.05117,0.74393,1.09953,0.000552612,0.000552612,0.000552612
36,1303.05,0.94632,0.70066,1.01134,0.98132,0.99885,0.99343,0.70189,1.05156,0.73085,1.09769,0.000544365,0.000544365,0.000544365
37,1335.86,0.92067,0.69054,1.00522,0.9821,0.99833,0.99236,0.70131,1.05169,0.71979,1.09911,0.000536119,0.000536119,0.000536119
38,1369.65,0.94208,0.69706,1.01068,0.98376,0.99661,0.99269,0.68915,1.07654,0.75858,1.10884,0.000527872,0.000527872,0.000527872
39,1403.16,0.92216,0.67898,1.00462,0.98196,0.99692,0.99293,0.70382,1.04181,0.72954,1.10274,0.000519625,0.000519625,0.000519625
40,1438.84,0.93317,0.68296,1.00265,0.97257,1,0.99266,0.70681,1.03732,0.70349,1.10538,0.000511379,0.000511379,0.000511379
41,1472.4,0.94708,0.6894,1.00605,0.97376,1,0.99314,0.70562,1.04246,0.69657,1.10764,0.000503132,0.000503132,0.000503132
42,1512.01,0.93588,0.67003,1.00549,0.98365,0.99748,0.99331,0.69095,1.10265,0.72633,1.10385,0.000494885,0.000494885,0.000494885
43,1545.76,0.94403,0.68918,1.03105,0.97357,0.9984,0.99399,0.69803,1.06789,0.75022,1.1002,0.000486639,0.000486639,0.000486639
44,1579.6,0.94847,0.68528,1.01891,0.97497,1,0.99361,0.7026,1.06687,0.73689,1.09598,0.000478392,0.000478392,0.000478392
45,1615.55,0.91395,0.6535,1.00325,0.97878,0.99984,0.99412,0.70701,1.04613,0.71913,1.09937,0.000470145,0.000470145,0.000470145
46,1649.46,0.92465,0.67532,1.00108,0.98545,0.99769,0.9938,0.69998,1.0688,0.71261,1.09307,0.000461898,0.000461898,0.000461898
47,1682.56,0.9186,0.66781,0.99762,0.97742,1,0.99324,0.70185,1.07545,0.72994,1.08686,0.000453652,0.000453652,0.000453652
48,1715.41,0.93526,0.66132,1.00659,0.97858,1,0.99226,0.70564,1.06151,0.71007,1.09055,0.000445405,0.000445405,0.000445405
49,1748.4,0.90179,0.64144,1.00459,0.97804,1,0.99262,0.70244,1.06571,0.7006,1.09502,0.000437158,0.000437158,0.000437158
50,1784.39,0.89633,0.64977,0.99778,0.98001,1,0.99361,0.70848,1.04158,0.68757,1.0979,0.000428912,0.000428912,0.000428912
51,1817.91,0.91886,0.6599,0.99482,0.98164,1,0.99343,0.71042,1.0323,0.6689,1.09664,0.000420665,0.000420665,0.000420665
52,1850.88,0.92012,0.6415,1.00615,0.97195,1,0.99306,0.69931,1.07166,0.67144,1.09532,0.000412418,0.000412418,0.000412418
53,1884.1,0.9355,0.66289,1.00115,0.97198,1,0.99287,0.70327,1.08426,0.6844,1.09701,0.000404172,0.000404172,0.000404172
54,1917.28,0.9109,0.65591,1.0025,0.97657,0.99824,0.99287,0.70416,1.06784,0.6913,1.10303,0.000395925,0.000395925,0.000395925
55,1950.47,0.90617,0.64178,1.01307,0.97731,0.99966,0.99324,0.70148,1.06798,0.681,1.11984,0.000387678,0.000387678,0.000387678
56,1990.04,0.89515,0.62941,1.00291,0.97754,0.99874,0.9938,0.70218,1.05392,0.67738,1.11172,0.000379431,0.000379431,0.000379431
57,2031.67,0.91363,0.64051,1.00011,0.98468,0.99897,0.9938,0.7068,1.0505,0.67082,1.10091,0.000371185,0.000371185,0.000371185
58,2069.37,0.88793,0.62745,0.98956,0.97919,1,0.99224,0.70483,1.05866,0.66212,1.10107,0.000362938,0.000362938,0.000362938
